right-about-face,180도 전환 ((주의·정책의))쉼표 변절; 전향; [군사] 뒤로 돌아,예문 없음,예문 없음,예문 없음,,right-about-face
insolent,무례한,예문 없음,예문 없음,예문 없음,,insolent
bigoted,편견이 아주 심한,예문 없음,예문 없음,예문 없음,,bigoted
forbear,(하고 싶은 말·행동을) 참다[삼가다],예문 없음,예문 없음,예문 없음,,forbear
mortification,굴욕쉼표 치욕,예문 없음,예문 없음,예문 없음,,mortification
fabrication,제작쉼표 제조쉼표 가공쉼표 날조,예문 없음,예문 없음,예문 없음,,fabrication
pawn off,떠넘기다,예문 없음,예문 없음,예문 없음,,pawn off
lumber,X(구글에서는 따옴표재목따옴표이라 함),예문 없음,예문 없음,예문 없음,,lumber
insinuate,암시하다,예문 없음,예문 없음,예문 없음,,insinuate
thaw,녹다 (=melt),예문 없음,예문 없음,예문 없음,,thaw
shrewd,상황 판단이 빠른,예문 없음,예문 없음,예문 없음,,shrewd
deflect,방향을 바꾸다[바꾸게 하다],예문 없음,예문 없음,예문 없음,,deflect
antagonize,대립하다쉼표 적대감을 불러일으키다,예문 없음,예문 없음,예문 없음,,antagonize
bristle,발끈하다쉼표 (동물의 털이)곤두서다,예문 없음,예문 없음,예문 없음,,bristle
flatly,단호하게,예문 없음,예문 없음,예문 없음,,flatly
ultimatum,최후통첩,예문 없음,예문 없음,예문 없음,,ultimatum
flout,어기다쉼표 무시하다,예문 없음,예문 없음,예문 없음,,flout
patronage,(특정 상점에 대한) 애용 (단골고객)쉼표 후원쉼표 지원,예문 없음,예문 없음,예문 없음,,patronage
entitle,자격을 주다,예문 없음,예문 없음,예문 없음,,entitle
scald,(뜨거운 물/김에) 데다,예문 없음,예문 없음,예문 없음,,scald
