decree,명령,,,,,decree,,12
defile,더럽히다,,,,,defile,,2
deformed,형태가 뒤틀린,,,,,deformed,,1
demeanor,행실,,,,,demeanor,,12
derive,추론하다,,,,,derive,,2
descent,내려오기,,,,,descent,,2
desire,욕구,,,,,desire,,2
desolate,황량한쉼표 적막한,,,,,desolate,o,12
desolation,고적감,,,,,desolation,,2
devour,게걸스럽게 먹다,,,,,devour,,2
discord,불협화음,,,,,discord,o,12
disgraced,모멸당한쉼표 천한,,,,,disgraced,,12
dispatch,급파하다,,,,,dispatch,o,12
dispose,배열하다쉼표 배치하다쉼표 처리하다쉼표 버리다쉼표 ~하는 경향이 있다,,,,,dispose,oo,12
edict,칙령,,,,,edict,,2
either A or B,A 또는 B 중 하나,,,,,either A or B,o,2
enable A to B,A로 하여금 B가 가능하게 하다,,,,,enable A to B,o,12
endow,기부하다,,,,,endow,,2
enmity,원한쉼표 증오쉼표 적대감,,,,,enmity,,12
enterprise,기업쉼표 회사,,,,,enterprise,,2
erect,직립의,,,,,erect,,1
everlasting bliss,영원한 복,,,,,everlasting bliss,,2
exempt,~가 없는,,,,,exempt,,2
exile,추방하다,,,,,exile,,2
expel,쫓아내다쉼표 추방하다,,,,,expel,,1
extinct,멸종되다,,,,,extinct,o,2
exulting,환희하는,,,,,exulting,,2
