10 20 30 40,-,-,print(10쉼표 20쉼표 30쉼표 40쉼표 ),_,,10 20 30 40
안녕하세요,-,-,"print(""안녕""+""하세요"")",_,,안녕하세요
안,-,-,"print(""안녕하세요""[0])",_,,안
안녕하,-,-,"print(""안녕하세요""[:3])",_,,안녕하
숫자2468,-,-,"print(""0123456789""[::2])",_,,숫자2468
나는 웹툰 3개 본다,-,-,"print(""나는 웹툰 %d개 본다"" %3)",_,,나는 웹툰 3개 본다
웹최몇? 3 ~ 10개,-,-,"num=10엔터print(""웹최몇? %d ~ %d개"" %(3쉼표num))",_,,웹최몇? 3 ~ 10개
영어점수: 100점쉼표 수학점수: 90점,-,-,"print(""{}점수: {}점쉼표 {}점수: {}점"".format(""영어""쉼표 100쉼표 ""수학""쉼표 90))",_,,영어점수: 100점쉼표 수학점수: 90점
수학점수: 90점쉼표 영어점수: 100점,-,-,"print(""{2}점수: {3}점쉼표 {0}점수: {1}점"".format(""영어""쉼표 100쉼표 ""수학""쉼표 90))",_,,수학점수: 90점쉼표 영어점수: 100점
저는 커피를 좋아합니다. 하루 1잔 마셔요.,-,-,s = 따옴표커피따옴표엔터n = 1엔터result1 = f따옴표저는 {s}를 좋아합니다. 하루 {n}잔 마셔요.따옴표엔터print(result1),_,,저는 커피를 좋아합니다. 하루 1잔 마셔요.
1 2,-,-,"print(""{} {}"".format(1쉼표2쉼표3쉼표4쉼표5))",_,,1 2
숫자00052,-,-,"output_d = ""{:05d}"".format(52)엔터print(output_d)",_,,숫자00052
숫자-0052,-,-,"output_d = ""{:05d}"".format(-52)엔터print(output_d)",_,,숫자-0052
숫자+52,-,-,"output_f = ""{:+d}"".format(52)엔터print(output_f)",_,,숫자+52
숫자+0052,-,-,"output_l = ""{:+05d}"".format(52)엔터print(output_l)",_,,숫자+0052
숫자      52.273000,-,-,"output_b = ""{:15f}"".format(52.273) # 15칸 만들기엔터print(output_b)",_,,숫자      52.273000
숫자          52.27,-,-,"output_f = ""{:15.2f}"".format(52.273)엔터print(output_f)",_,,숫자          52.27
숫자52.273,-,-,print(0.52273e2),_,,숫자52.273
